Name,Slug,Comments
2PiFi,2pifi,
AT&T,att,
CenturyLink,centurylink,
Comcast,comcast,
Entel Chile,entel-chile,
Frontier,frontier,
Spectrum,spectrum,
SuddenLink,suddenlink,
TELECOM,telecom-argentina,
Verizon,verizonv
Windstream,windstream,
Zayo Group,zayo-group, 
